;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14654;ref: 178095;R$ 790.000;avenida independencia;Independência, Porto Alegre - RS;151m²;3;1;2
14655;ref: 178201;R$ 180.500;avenida da azenha;Azenha, Porto Alegre - RS;43m²;1;;1
14656;ref: 178282;R$ 640.000;avenida doutor nilo pecanha;Jardim Europa, Porto Alegre - RS;38m²;1;1;1
14657;ref: 178567;R$ 120.000;rua tome antonio de souza;Aberta dos Morros, Porto Alegre - RS;39m²;2;1;1
14658;ref: 178657;R$ 228.000;rua professor manoel lobato;Medianeira, Porto Alegre - RS;69m²;3;2;1
14659;ref: 178719;R$ 180.000;rua angelo crivellaro;Jardim do Salso, Porto Alegre - RS;41m²;1;;1
14660;ref: 178727;R$ 180.000;rua carlos estevao;Jardim Leopoldina, Porto Alegre - RS;57m²;2;1;1
14661;ref: 178770;R$ 190.000*;rua figueredo mascarenhas;Sarandi, Porto Alegre - RS;51m²;3;1;1
14662;ref: 178860;R$ 260.000;rua pereira franco;São João, Porto Alegre - RS;72m²;2;;1
14663;ref: 189321;R$ 540.000;avenida bento goncalves;Partenon, Porto Alegre - RS;65m²;2;1;2
14664;ref: 189353;R$ 470.000;avenida cristovao colombo;Floresta, Porto Alegre - RS;115m²;3;;1
14665;ref: 189355;R$ 350.000;rua jari;Passo da Areia, Porto Alegre - RS;85m²;1;1;1
14666;ref: 189391;R$ 330.000;rua anita garibaldi;Mont Serrat, Porto Alegre - RS;44m²;1;1;1
14667;ref: 189503;R$ 280.000;rua tenente ary tarrago;Jardim Planalto, Porto Alegre - RS;51m²;2;1;2
14668;ref: 189508;R$ 170.000;rua jose carlos batista dos santos;Alto Petrópolis, Porto Alegre - RS;53m²;2;1;1
14669;ref: 189621;R$ 165.000;rua pedro lessa;Jardim Floresta, Porto Alegre - RS;49m²;1;1;1
14670;ref: 179666;R$ 185.000;rua luiz de camoes;Santo Antônio, Porto Alegre - RS;41m²;1;;1
14671;ref: 179816;R$ 155.000;estrada martim felix berta;Alto Petrópolis, Porto Alegre - RS;43m²;2;1;1
14672;ref: 179857;R$ 171.000;rua orfanotrofio;Alto Teresópolis, Porto Alegre - RS;49m²;2;1;2
14673;ref: 179882;R$ 340.000;rua carlos von koseritz;São João, Porto Alegre - RS;63m²;2;1;1
14674;ref: 179962;R$ 394.900;avenida do forte;Cristo Redentor, Porto Alegre - RS;86m²;3;1;1
14675;ref: 179995;R$ 349.000;rua jose de alencar;Menino Deus, Porto Alegre - RS;41m²;1;1;2
14676;ref: 180014;R$ 230.000;rua tenente ary tarrago;Jardim Itu Sabará, Porto Alegre - RS;54m²;2;1;2
14677;ref: 180038;R$ 250.000;avenida teresopolis;Teresópolis, Porto Alegre - RS;66m²;2;;1
14678;ref: 180185;R$ 170.000;rua deodoro;Protásio Alves, Porto Alegre - RS;47m²;2;1;1
14679;ref: 180353;R$ 210.000;rua joao candido;Jardim Europa, Porto Alegre - RS;43m²;1;;2
14680;ref: 180422;R$ 148.400;avenida ipiranga;Jardim Botânico, Porto Alegre - RS;41m²;1;;1
14681;ref: 183022;R$ 239.000;rua coronel massot;Tristeza, Porto Alegre - RS;81m²;3;;1
14682;ref: 183261;R$ 210.000;rua camaqua;Camaquã, Porto Alegre - RS;57m²;2;;1
14683;ref: 183333;R$ 370.000;rua vinte de setembro;Azenha, Porto Alegre - RS;55m²;2;;1
