,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
208,ref: 440276,R$ 426.000,avenida lageado,"Petropolis, Porto Alegre - RS",76m²,2.0,1.0,2.0
209,ref: 241407,R$ 680.000,rua eca de queiroz,"Petropolis, Porto Alegre - RS",64m²,2.0,2.0,3.0
210,ref: 298546,R$ 860.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",86m²,3.0,2.0,2.0
211,ref: 459047,R$ 690.000,avenida alegrete,"Petropolis, Porto Alegre - RS",79m²,2.0,1.0,2.0
212,ref: 445209,R$ 600.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",130m²,3.0,2.0,3.0
213,ref: 419283,R$ 424.000,avenida itaqui,"Petropolis, Porto Alegre - RS",116m²,2.0,1.0,2.0
214,ref: 383065,R$ 530.000,rua cicero ahrends,"Menino Deus, Porto Alegre - RS",81m²,2.0,1.0,1.0
215,ref: 356829,R$ 763.000,rua felix da cunha,"Moinhos de Vento, Porto Alegre - RS",90m²,2.0,1.0,3.0
216,ref: 231758,R$ 689.000,rua sinimbu,"Petropolis, Porto Alegre - RS",72m²,2.0,1.0,2.0
217,ref: 244215,R$ 415.000,avenida erico verissimo,"Menino Deus, Porto Alegre - RS",67m²,2.0,1.0,1.0
218,ref: 350283,R$ 530.000,rua almirante goncalves,"Menino Deus, Porto Alegre - RS",81m²,2.0,2.0,2.0
219,ref: 44044,R$ 530.000,avenida bastian,"Menino Deus, Porto Alegre - RS",67m²,2.0,1.0,2.0
220,ref: 45515,R$ 690.000,avenida bage,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,2.0
221,ref: 453202,R$ 695.000,avenida lageado,"Petropolis, Porto Alegre - RS",101m²,2.0,1.0,4.0
222,ref: 400047,R$ 420.000,rua dario pederneiras,"Petropolis, Porto Alegre - RS",71m²,2.0,1.0,2.0
223,ref: 412426,R$ 420.000,rua coronel corte real,"Petropolis, Porto Alegre - RS",73m²,2.0,1.0,1.0
224,ref: 383424,R$ 532.000,rua jose de alencar,"Menino Deus, Porto Alegre - RS",60m²,2.0,2.0,2.0
